abandon,"v./n.放纵
v.放弃","1.freedom from constraint
2.withdraw"
arduous,adj.难以做到的，费劲的,difficult
anthropogenic,adj.人为的,influence of human beings
arrest,"n./v.停止
v.逮捕
v.吸引（某人）注意力","1.stopping to a standstill
2.keep under one’s control
3.hold attention"
arresting,adj.吸引人的,attracting
arrhythmic,adj.不规律的,lacking regularity
arrogance,n．傲慢，自大,overbearing pride
articulate,"v.清晰地表达
adj.表达清晰的","1.clearly distinctly
2.able to express clearly"
ascendant,adj.有影响力的，主宰的,dominant influence
ascetic,adj./n. 自制的(人),self-denial
aseptic,adj.消毒的，无菌的,preventing infection
askew,adj./adv.不成直线的（地），歪的（地）,awry
aspect,n.外表，容貌,appearance
asperity,"n.（举止、性情）粗暴
n.（环境）艰苦","1.roughness
2.rigor, severity"
aspersion,n.诽谤，中伤,harm reputation
aspirant,"n.有抱负者,有野心者",aspire
assent,vi.同意,agree
assert,vt.断言，肯定地说出,declare forcefully
assertive,adj.自信的,self-assured
assess,"v.评估（重要性、尺寸、价值等）
v.征收费用（如罚款）","1.determine value
2.charge penalty"
assiduous,adj.勤勉的，专心仔细的,careful
assuage,vt.缓和，减轻,lessen intensity
astounding,adj.令人吃惊的，出乎意料的,amazement
astute,adj.机敏的，有洞察力的,shrewdness
asunder,adv.分离地,apart
asylum,n.收容所，保护所,protection
asymmetrical,adj.不平衡的，不对称的,no balance
atone,v.赎罪，弥补,amend
atrocious,adj.极坏的，极其残忍的,extremely wicked
attenuate,v.降低（数量、力量、价值）,lessen
audacious,adj.大胆的，（但往往）愚勇的,fearlessly recklesssly
augur,n.预言家/vt.预言,tell beforehand
authentic,adj.真实的，非仿造的,exactly
authority,"n.（某领域的）权威人士
n.管辖权，控制","1.a high level of knowledge
2.lawful control"
autocracy,n.独裁政府,government with unlimited power
autonomy,"n.政治上的独立；
n.自我主导的自由，（尤其是）精神独立","1.self-governing
2.independence"
avarice,n.贪财，贪婪,insatiable
aver,v.声称为真,state forcefully
averse,adj.反对的,dislike
avid,adj.急切渴望的,enthusiasm
awash,adj.（如洪水般）泛滥的,"filled, covered overrun"
awe,n./v.敬畏,"dread, veneration and wonder"
awkward,"adj.缺乏灵活性和技巧的
adj.（处理问题）缺乏手段和智谋的","1.lacking dexterity
2.a lack of skill and tact"
avant-garde,n.（尤指艺术上的）先锋派,develop new concept
awry,adj./adv. 出差错的（地）,off course
axiomatic,adj.不言自明的,self-evident
babble,v.发出含糊无意义的嘟囔声，胡乱说；,utter meaningless
backhanded,adj.间接的,indirect
badger,vt.不断纠缠或骚扰,harass persistently
badinage,n.打趣，善意的玩笑,banter
bait,"vt.引诱
n.诱饵","1.lead away
2.something luring"
bale,n.痛苦，悲哀,sorrow
baleful,adj.有害的,harmful
balk,"vt.阻碍
v.不愿接受，拒绝","1.check obstcale
2.unwillingness"
balky,adj.不服管束的，倔强的,refusing
balderdash,n.胡言乱语，废话，无意义的话,n.having no meaning
balloon,v.迅速增加,increase
balm,n.香油，止痛膏；安慰物,soothe
banal,adj.非原创的，陈腐的,trite
bane,n.有害的物质,kill or injure a living thing
banish,vt.驱逐出境,leave a country
banter,n./v.幽默、打趣的（地）谈话,humored
barb,n.尖锐而严厉的批评,a critical remark
barbarous,adj.野蛮的,mercilessly harsh
barefaced,adj.公然的,brazen
bargain,"n.协议
v.讨价还价","1. an agreement
2. negotiate"
baroque,"adj.复杂,装饰华丽的","complex, flamboyant"
barrage,n.有压倒之势的言语,an overwhelming outpouring
barren,"adj.无效的
 adj.贫瘠的","1. unproductive
2. deficient"
barricade," n.障碍物
 v.用障碍物阻止通过","1. an obstruction
2. prevent access"
barter,v.以物换物,trade without money
beguile,v.欺骗,believe what is untrue
bathetic,adj.平凡的，陈腐的,commonplace
befuddle,v.使困惑,throw into mental uncertainty
bedeck,v.装饰，点缀,make more attractive
belabor," v.严厉批评
 v.喋喋不休","1. criticize
2. explain excessively"
beleaguer,v.使困扰，使烦恼，使消沉,trouble
belie," v.掩饰；
 v.与…相对立；与…相矛盾","1. shut off from view
2. be counter to"
bellwether,n.领导者，带头人,one that takes the lead
beneficent," adj.仁慈的，好慈善的；
 adj.（对个人或社会）有益的","1. charitable
2. contributing to social well-being"
benign,adj.无害的,not causing hurt
berate,v.（长时间）严厉指责,scold vehemently
beseech,v.（急切地）恳求,beg
besmirch,v.诽谤，玷污,detract from the honor
bifurcate,v.（使）分成两支,divide into two branched
bigot,n.固执己见者，有偏见的人,a person obstinately devoted to his own opinions
bland,adj.无趣的,dull
blandishment,n.甜言蜜语，讨好某人的话,something that tends to coax or cajole
blasé,adj.（过度放纵之后）厌倦享乐的，腻烦的,apathetic
blast," n.爆炸；
v.炸裂，爆破；
 v.斥责，抨击","1. an explosion
2. cause to break open
3. criticize harshly"
blatant,adj.（让人生厌地）惹人注目的,noticeable
blazon," v.使知名
 v.修饰，装扮","1. make known openly
2. make more attractive
"
blemish,"n.缺点，污点
v.损害，玷污","1. a noticeable imperfection
2. make more attractive"
blight,"v.（使）枯萎
v.损害","1. affect with blight
2. impair"
bliss,n.极度快乐,ecstasy
blithe,"adj.愉快高兴的
adj.无忧无虑的；漫不经心的","1. happy, lighthearted
2. having freedom from worries"
blueprint,v.事先计划,work out in advance
blunder,"n.过失
v.犯错误","1. an error
2. make a mistake"
blunt,"v.使变钝
adj.直率的","1. make less sharp
2. direct, brief"
blur,"v.（使）变得朦胧，（使）变得不清楚；
v.使不易理解","1. become vague
2. make unclear "
blurt,v.突然说出,utter abruptly
bluster,"v.狂妄自大地大声说
n.喧闹的状态","1. speak in an arrogant manner
2. noisy "
boggle,v.（因为怀疑、恐惧）犹豫,hesitate
boisterous,adj.喧嚷的，吵闹的,noisily turbulent
bolster,"n./v.支撑（物）
v.鼓励，使有精力","1. provide support
2. give a boost to"
bombast,n.夸大的言辞,pompous speech
bonhomie,n.温和，和蔼,geniality
boo,n./v.嘘（以表示不满或嘲笑）,a sound uttered to show contempt
boon,n.恩惠，福利,benefit
boorish,adj.粗鲁无礼的,impolite
bootless,adj.无用的,useless
bound,"n.界限
adj.投入的，坚定的","1. a limit
2. fully committed"
boycott,vt.联合抵制，拒绝参与,engage in a concerted refusal
bracing,adj.令人振奋的，给人带来活力的,giving strength
brake,v.刹车,proceed at a less rapid pace
brash,adj.愚勇的，鲁莽的,bold
brassy,adj.厚脸皮的，不知羞耻的,displaying rude boldness
bravado,"n.假装勇敢
n.虚张声势","1. a pretense of bravery
2. swaggering conduct"
bravura,adj./n.优秀演技（的）,brilliant technique in performance
brazen,"adj.蛮横大胆的，厚颜无耻的
v.大胆自信地去面对或从事","1. contemptuously bold
2. face with self-assurance"
breach,v.违背,fail to keep
brevity,n.简短，简洁,shortness
bribe,v.贿赂，收买,give money to a person to influence his conduct
bridle,v.限制,keep from exceeding
brisk,"adj.充满生机的，有活力的；
",marked by much life or activity
bristle,v.怒不可遏，咆哮,express one's anger
brittle,"adj.易碎的，脆弱的，易坏的
adj.不热心的，不真心的","1. easily broken
2. lacking in friendlyness"
broach,v.提出讨论,present for discussion
bromide,n.陈词滥调,a hackneyed statement
brook,"v.忍受，容许
",tolerate
browbeat,v.恐吓,intimidate
bruit,v.（未经证实地）散播（消息）,make the subject of common talk without authority
buck,"v.阻止，反对
",refuse assent
budge,v.停止抵抗，屈服,cease resistance
bulge,n.凸起,a protuberant
bully,"n.欺凌弱小者
",a person who treats others in an intimidating manner
bumptious,adj.专横傲慢的，自以为是的,having a feeling of supreority
bungle,v.办糟，失败,work clumsily
buoy,v.使充满勇气和力量，使振作,fill with courage or strength
buoyant,adj.心情好的,showing a good mood
burgeon,vi.迅速成长扩大，蓬勃发展,grow rapidly
burlesque,n./v.夸张滑稽地模仿以嘲弄他人的文学艺术作品，恶搞,make fun of
burnish,v.擦亮，磨光,make smooth or glossy
buttress,vt.为…提供支撑的证据或者信息,provide evidence or information for
byzantine,adj.错综复杂的,complicated or secretive
cache,"n.囤货，藏货
",a supply
cachet,"n.同意
n.声望","1. an approval
2. prestige"
cacophony,n.刺耳的声音,inharmonious sound
cavalier,"n.彬彬有礼的绅士
adj.傲慢的","1. a courtly gentleman
2. having a feeling of superiority"
cajole,v.哄骗,wheedle
calcify,v.使僵化,make inflexible or unchangeable
calibrate,v.校准，调校,standardize
calligraphy,n.（优美的）书法,elegant handwriting
callous,"adj.无同情心的,冷漠的",unfeeling
callow,adj.不老练的，不成熟的,lacking in adult experience
calumniate,v.诽谤，造谣，中伤,utter false statements
camaraderie,n.友情,a spirit of friendly fellowship
catharsis,n.情绪的宣泄、释放,elimination of a complex
camouflage,v./n.伪装；伪装手段,behavior to deceive or hide
canard,n.谣传，误传,a deliberately misleading story
candor,n.坦白，直率，诚挚,honest expression
canon,"n.准则，标准
n.真经，正典","1. a standard or criterion
2. the authentic works of a writer"
canvass,"v.仔细检查，详尽讨论
v.游说，去（一个地区）的各处或找到（个人）来拉选票或订单","1. examine carefully
2. solicit votes or orders"
capitulate,v.投降，默许,give up all resistance
caprice,n.反复无常，善变,change one's mind impulsively
captivate,v.吸引,attract by charm
careworn,adj.忧心忡忡的，焦虑的,showing grief
cardinal,adj.主要的，非常重要的,paramount
caricature,"n.用讽刺歪曲等手法的夸张，漫画，讽刺画
v.嘲笑性模仿或夸张","1. exaggeration
2. copy or exaggerate to make fun of"
carnal,"adj.肉体的，物质的
adj.世俗的","1. relating to the physical
2. worldly"
carouse,v.畅饮，狂饮作乐,drink liquor freely
carp,v.对小事吹毛求疵，挑剔，表现不满,bound by very close association
cliquish,adj.小集团的,bound by very close association
cast,"v.提出
v.抛弃","1. put forth
2. get rid off"
castigate,"vt.强烈（公开）指责
",criticize harshly and publicly
catalyze,vt.成为…的导火索，导致,be the cause of 
catastrophe,"n.大灾难
n.彻底的失败","1. a tragedy
2. utter failure"
categorical,adj.没有例外的；绝对的,absolute
catholic,adj.普遍的，包容的,not limited or specialized
caustic,adj.挖苦讽刺的，刻薄的,marked by incisive sarcasm
caveat,n.警告，告诫,a warning of a specific limitation
cavil,v.挑剔，吹毛求疵,quibble
cataclysmal,adj.灾难性的,bringing about ruin
cede,vt.（根据条约）放弃，割让,surrender possession of 
cement,n./v.粘合，粘合剂,a uniting or binding force
censor,vt.审查并删除不良的东西,examine or delete
concomitant,adj.伴随的，同时发生的,present at the same time and place
censure,v.公开表示反对，谴责,express public disapproval of 
chic,adj.时髦的，潮的,being in the latest fashion
cessation,n.终止，暂停,the stopping of a process
chaff,v.开玩笑,make jokes
chagrin,n.（因为失败、出糗而导致的）不安，焦虑,distress of mind
chameleon,n.变色龙，善变的人,a person who changes opinions
champion,v.支持,support as a champion
compulsive,adj.不能自拔的,caused by an irrisistible urge
chimera,n.虚构的事物，幻觉,an illusion or fabrication
charlatan,n.骗子，装懂的人,a person who makes fraudulent
chary,adj.非常谨慎的,cautious
chase,v.驱赶,force out
chasm,n.分歧，（意见、利益或忠诚上的）明显差异,a pronounced difference
chauvinistic,adj.盲目爱国的,showing excessive favorism
check,"v.使突然停止，阻止
v.同意，一致","1. arrest abruptly
2. be in agreement"
cherubic,adj.天使般可爱的,chubby and rosy
chicanery,n．诡计多端，欺骗,deception
chide,v.责备,scold mildly
choleric,"adj.易怒的，暴躁的
",easily angered
chord,v.与…和谐一致；符合,agree
chromatic,adj.彩色的,relating to color
chronic,"adj.经常发生的，复发的
",marked by frequent recurrence
churlish,adj.粗鲁无礼的,showing impolite manners
cipher,n.密码,a method of transforming a text to conceal its meaning
circuitous,adj.迂回的，不直接的,not being forthright
circumlocution,n.冗长,the use of too many words to express an idea
circumscribe,vt.限制,restrict
circumspect,adj.谨慎的，小心的,prudent
circumvent,v.躲避，不遵从,avoid having to comply with
civility,n.彬彬有礼,politeness
chokehold,n.压制,a force that stops something from growing
clandestine,adj.隐藏的，秘密的,kept in secret
clarion,adj.清楚响亮的,loud and clear
clarity,n.清晰，清楚,lucidity
clasp,n./v.紧握,the act of holding
clement,"adj.宽容的，善良的
adj.气候温和的","1. tolerant and kind
2. marked by temperatures that are neither too high nor too low"
cliché,n./adj.陈词滥调（的）,a hackneyed theme
clog,"n.阻碍物
v.阻碍
","1. something that makes movement
2. creat difficulty"
clot,"n.密集的一群
v.凝结","1. a number of things considered as a unit
2. turn from liquid into jelly"
cordial,"adj.热情的，友好的
adj.令人振奋的，令人焕然一新的","1. showing a natural kindness
2. having a renewing effect"
clout,n.权力，影响力,influence
cloying,adj.甜得发腻的；感情用事的,excessively sweet
clumsy,adj.笨拙的,lacking nimbleness
coagulate,v.（使）凝结，（使）变稠,clot
coalesce,v.合并，融合,fuse
coax,v.哄骗,cajole
coda,n.终曲,the concluding passage
coerce,vt.（以武力）强制,achieve by force
coeval,adj.同时代的，同龄的,of the same age
cogent,"adj.令人信服的
adj.相关的","1. convincing
2. pertinent"
cognizant,adj.知道的，意识到的,aware
collapse,v./n.失败,be unsuccessful
collude,v.串通，共谋（做坏事）,act together secretly
colossal,adj.巨大的,immense
coltish,adj.爱开玩笑的,given to good-natured joking
coma,"n.昏迷，深度无知觉
",a state of profound unconsciousness
combustible,"adj.可燃的
adj.容易激动的","1. capable of igniting
2. easily excited"
cluster,n.一群人,small number of persons
comity,n.友好，社会和谐,social harmony
commencement,"n.开始
n.毕业典礼","1. a start
2. the ceremonies for conferring degrees"
commend,vt.赞扬,praise
commensurate,"adj.同样大小的
adj.相称的，相当的","1. equal in measure or extent
2. proportionate"
commingle,v.充分混合,blend thoroughly
commitment,"n.致力，投入
n.承诺，表态
","1. a state of being obligated
2. the act of revealing one's view of "
committed,adj.忠诚的，忠实的,loyal
commodious,adj.宽敞舒适的,"spacious, roomy"
commonsensical,adj.符合常识的，有依据的,displaying common sense
commotion,n.骚乱,an agitated disturbance
compendium,n.摘要,"a brief summary, abstract"
complacency,n.自满，无忧患意识,a feeling of self-satisfaction
complaisance,n.愿意顺从，讨好，彬彬有礼,"disposition to comply, affability"
compliant,adj.顺从的,submissive
compliment,"n./vt.称赞，恭维；
n.敬意，免费赠送的礼物","1. praise
2. honor"
clownish,adj.滑稽可笑的,acting in a funny way
compose,"v.组成，构成
v.使镇定","1. constitute
2. calm"
compound,"n.混和物
adj.混合的
v.混合
v.使恶化，加重
","1. bring together
2. make worse"
compress,v.压缩（体积）,reduce in size or volumn
compromise,"v.妥协
v.使危险","1. settle by mutual concessions
2. place in danger"
compunction,n.焦虑，内疚，良心不安,anxiety of guilt
concatenate,v.连结，混合,bring together
concoct,v.捏造，编造,invent to deceive someone
conceal,v.隐藏，隐瞒,prevent disclosure
concede,v.承认,grant as a privilege
concentrate,"v.聚集
v.浓缩","1. come together
2. make less dilute"
concerted,adj.共同完成的,planned or accomplished together
conciliate,"v.平息，抚慰
",lessen the anger
commonplace,adj./ n.司空见惯的（事物）,heard so often as to be dull
concord,n.一致，和睦,accord
concur,"v.同意
v.同一时间发生、存在
v.团结合作","1. express agreement
2. occur at the same time; joint                                                                    "
condescending,adj.摆出高人一等的姿态的,displaying a superior attitude
condign,adj.应得的，恰当的,deserved
condole,v.表达同情,express sympathetic sorrow
condone,v.宽恕；忽视,"overlook, forgive"
conducive,adj.有益的，有促进作用的,promote or assist
cantankerous,adj.脾气不好的,showing a bad temper
confine,v.限制,keep within limits
confluence,n.汇合，混合,come together to the same point
confront,vt.直接对抗，直面,come face to face with hostility
confound,"v.使困惑
v.证明为假，证伪","1. throw into uncertainty
2. prove to be false"
congeal,v.凝固，固化,change from a fluid to a soid state
congenial,"adj.和善的，友好的
",having agreement
congruent,"adj.和谐一致的
adj.全等的","1. being in harmony
2. coinciding"
conjecture,"n.推测，猜测
v.（没有依据地）认为","1. a conclusion deduced by surmise
2. form an opinion from no evidence"
connive,"v.暗中合作，共谋
",cooperate secretly
connoisseur,"n.专家
n.鉴赏家（尤指艺术领域）","1. a person with a high level of knowledge
2. a person who enjoys with apperciation of art"
conscientious,"adj.有良心的，正直的
adj.仔细的，一丝不苟的","1. governed by conscience
2. showing great care"
consensus,n.一致同意,general agreement
consequence,"n.结果
n.重要性，价值","1. something produced by a cause
2. importance"
conservative,"adj.守旧的，不愿改变的
adj.不招摇的，低调的
","1. tending to oppose change
2. not excessively showy"
conservatory,"n.温室
n.艺术学院","1. a greenhouse
2. a school specializing in fine arts"
consilience,n.融合,linking together
considerable,"adj.（数量上）可观（而值得注意）的
adj.值得考虑的，重要的","1. sufficiently large in size
2. a school specializing in fine arts"
console,v.安慰，藉慰,"alleviate the grief, comfort"
consolidate,v.加固，使安全,make firm
consonant,adj.和谐一致的,being in agreement
conspicuous,adj.显而易见的，吸引人的,obvious
conspire,v.合谋，密谋,plan secretly
constitute,"v.指派，任命
v.构成","1. appoint to an office
2. make up "
constrain,v.限制,force by imposed restriction
constringe,v.使紧缩,draw together
construct,"v.建造，建立
v.创造，想出","1. appoint to an office
2. make up "
consummate,"adj.专业的，有造诣的
adj.无纰漏的，完美的
","1. extremely skilled
2. perfect "
contagious,"adj.传染的
adj.（情绪等）唤起共鸣的","1. communicable by contact
2. exciting a similar feeling "
contaminate,v.污染，感染,stain
content,"v.使满足
n.内容，内涵","1. appease the desire of
2. the idea that is conveyed through various ways "
contentious,"adj.引起争论的
adj.好争论的，好战的","1. argumentative
2. exhibiting a wearisome tendency"
contiguous,adj.接壤的，相邻的,sharing an edge
contort,v.扭曲,twist
contract,"n.契约，合同
v.收缩
v.感染疾病","1. a binding agreement
2. reduce in size
3. become affected by a disease"
contravene,v.违反，反对,"violate, oppose"
contrite,adj.（因为有罪孽或过错而感到）后悔悲痛的,showing sorrow and remorse
contumacious,adj.不服从的，倔强的,disobedient
conundrum,n.无法解决的问题，迷,a dilemma
convalesce,v.渐渐康复，渐愈,recover gradually
cloak,v.遮掩，隐藏,conceal truly identity
convention,"n.常规，习俗
n.大会，集会","1. general agreement
2. a coming together"
converge,v.汇集，交汇于一点,move toward one
conversant,adj.熟悉的,familiar
convert,"v.改变，转化
",alter the physical nature
consort,v.结交,be together as friends
cagey,adj.不乐意说话的,not willing to say
conviction,"n.深信，确信
n.证明有罪","1. the state of being convinced
2. state of being proved guilty"
convoke,v.召集开会,bring together
convoluted,adj.复杂的，费解的,complicated
convulsion,n.骚乱,a violent disturbance
coop,v.监禁，困于…之中,confine
copious,adj.丰富的，大量的,abundant
coquette,v.调情，不认真对待,flirt
countervail,v.抗衡，抵消,exert force against
cornucopia,n.大量,an overflowing store
coronation,n.加冕，加冕礼,the act of crowning a sovereign
corporeal,"adj.肉体的
adj.有形的，实体的","1. not spiritual
2. not immaterial"
corroborate,"v.用证据或权威证实
v.为…提供证据，支持","1. support with evidence
2. provide evidence for"
corrosive,"adj.腐蚀性的
adj.讽刺性的","1. tending to destroy slowly
2. bitingly sarcastic"
corrugated,adj.褶皱的,shaped into a series of folds
cosmopolitan,adj.有世界性眼光的，包容的,having worldwide scope
cosset,v.宠爱,pamper
countenance,"v.容忍
v.赞成，推崇
","1. put up with
2. have a favorable opinion of"
counterfeit,"adj.仿制的，假冒的
v.仿制
","1. made in imtation
2. make a fraudulent replica of"
countermand,v.取消，撤销,revoke
court,vt./n.追求，献殷勤,seek the affections of
covert,"adj.隐蔽的，秘密的
",not openly shown
covetous,adj.贪婪的，渴求财富的,marked by inordinate desire
cow,v.恐吓，威胁,frighten with threats
cowardice,n.懦弱，不坚定,lack of courage
cower,v.畏缩,cringe in fear
cozen,v.诱骗,mislead by fraud
cramped,n.狭小的，狭窄的,uncomfortably small or restricted
crass,adj.粗俗的，愚钝的,crude and unrefined
crave,v.热望,have an intense desire for
craven,adj.非常懦弱的，因胆小而遭人鄙视的,lacking courage
contingency,n.可能发生的事,something that might happen
credence,n.坚信,firm belief
credulous,adj.轻信的，易受骗的,gullible
caterwaul,v.嚎叫,make unpleasant sound
creep,vi./n. 缓慢地行进,slowly
crescendo,n.（渐强之后到达的）顶峰,peak
crest,n. 顶部，浪尖，山顶,the top
crestfallen,adj.垂头丧气的，沮丧的,depressed
cronyism,n. 任人唯亲，对好友的偏袒,favoritism friends
crook,vt. 使弯曲,away from a straight line
croon,v. 低声歌唱或说话,murmuring
culminate,v. 达到高潮,triumphant conclusion
crucial,adj. 非常重要的，决定性的,extremely significant
crumple,v. 弄皱,bend
crutch,n./v. 支撑，支柱,supports
crux,n. 中心，关键点,crirical point
cryptic,"adj.秘密的   
adj.难以理解的","1. secret
2. beyond one's powers to know"
culpable,adj. 该受谴责的，有罪的,deserving blame
cultivate,"vt. 提升，加强   
vt.种植，培养","1. improve
2. promote growth"
cumbersome,adj. 笨重的，难处理的,difficult to handle
cunning,adj. 狡猾的,artful deceptiveness
