序号,单词,音标,释义
15,treacly,/'tri:kli/,"1.  甜蜜的；糖蜜般甜的；糖蜜似的  resembling treacle (as in quality or appearance)
2.  甜得令人厌腻的；过分多情的  overly sweet or excessively sentimental：cloying/saccharine/syrupy"
16,gallop,/?ɡ?l?p/,"1. (马等)  飞跑，疾驰  (of a horse or similar animal) to run very fast
2.   飞速发展    If  something  such  as  a  process  gallops,  it  develops  very  quickly  and  is  often  difficult  to
control."
17,nascence,/'nes?ns/,"开始，起源，发生     nascency, birth, origin"
18,unrest,/?n?r?st/,"动荡，动乱，骚动  a political situation in which people protest or behave violently
political/social/industrial etc unrest"
19,trepid,/'trepid/,惊恐的，胆小的，怯懦的  timid by nature or revealing timidity：fearful/timorous
20,progenitor,/pr???d??n?t?/,"1.  祖先  A progenitor of someone is a direct ancestor of theirs.
2.  先驱;  创始人  The progenitor of an idea or invention is the person who first thought of it."
21,paean,/?pi?   ?n/,"颂歌     A paean is a piece of music, writing, or film that expresses praise, admiration, or happiness."
22,liability,"/,lai?'bil?ti/","1.  ( 应负的) 责任， ( 应履行的) 义务   the  state  of  being  legally  obliged  and  responsible  for  something ： obligation
2.  不利条件，缺点  one that acts as a disadvantage: drawback
3.  倾向性  tendency, inclination, propensity
4.  可能性  probability"
23,prolix,/'pr??l?ks/,"(发言、书籍等)冗长的  using to much words : verbose,     circuitous , long-winded,    rambling"
24,prolong,/pr??l??/,延长，拖延时间  to lengthen in time: continue
25,tautological,/?t??   t??l?d??k?l/,"赘述的，同义反复的  A tautological statement，sentence, etc. repeat its meaning in an unnecessary way by
using different words to say the same thing"
26,sermonize,/'s??   m?na?z/,"(喋喋不休地)训诫，说教(含贬义) to give a lot of moral advice to someone when they do not want it  –  used
to show disapproval"
27,malice,/'m?lis/,"恶意，怨恨，敌意  the desire to cause pain, injury, or distress to someone because you hate them
PHR V bear malice to (或  towards, against)"
28,particle,/'pɑrt?kl/,微量;  极小量  A particle of something is a very small piece or amount of it.
29,cogitate,/?k?d???te?t/,"仔细考虑,  深思  to think carefully and seriously about something"
30,unstinting,/?n?st?nt??/,"(支持、帮助、赞扬等)慷慨的，大方的  used to say that someone gives something (such as support, help, and
praise ) in a very strong and generous way"
31,disaffected,/?d?s??f?kt?d/,"(对政府，领导)不满的,  有叛意的；愤愤不平的  discontented and resentful especially against authority"
32,pernicious,/p??n???s/,有害的  causing great harm or damage often in a way that is not easily seen or noticed
33,trickery,/?tr?k?r?/,欺骗，哄骗  the use of tricks to deceive or cheat people
34,adorn,/??d??   n/,"装饰,  美化  to decorate something"
35,morose,/m??r??s/,"阴郁的;  坏脾气的  Someone who is morose is miserable, bad-tempered,  and not willing to talk very much
to other people."
36,tangent,/?t?nd??nt/,"突然离题   If  someone  goes  off  on/at  a  tangent,  they  start  saying  or  doing  something  that  is  not  directly
connected with what they were saying or doing before."
37,aggregate,/??ɡr?ɡe?t/,"(使)聚集，收集；合计  to put different amounts, pieces of information etc together to form a group or a total"
38,empathy,/??mp?θ?/,"同感能力，移情  Empathy is the ability to share another person's feelings and emotions as if they were your
own."
39,inconspicuous,/??nk?n?sp?kj??s/,不显眼的，不引人注意的  not easily seen or noticed
40,reckless,/?r?kl?s/,"轻率的；鲁莽的；不顾后果的   not  caring or worrying about  the possible  bad or dangerous  results  of your
actions"
41,theatrical,/θ???tr?k?l/,"1.  戏剧的  of or relating to the theater：histrionic
2.  戏剧性的，有意做作的     behaving or done in a way that is meant to attract attention and that is often not
genuine or sincere：histrionic"
42,adhere to,/?d?h??/,"坚持；信守  to continue to behave according to a particular rule, agreement, or belief"
43,fraudulent,/?fr??   dj?l?nt/,"骗人的，欺诈性的  intended to deceive people in an illegal way, in order to gain money, power etc"
44,bereft of,/b??r?ft/,"缺少…的     lacking something needed ,wanted ,or expected"
45,overweening,/???v??wi?   n??/,"1. 自负的， 自以为了不起的； 过分自信的   too  confident  or  proud:  arrogant,  presumptuous  ,  conceited
2.夸大了的；过分的  excessive and unpleasant : immoderate, exaggerated"
46,finesse,/f??n?s/,"技巧;  策略  skill and cleverness that is shown in the way someone deals with a situation, problem, etc"
47,resurrection,/?r?z??r?k??n/,"复活；复兴；恢复   a  situation  in  which  something  old  or  forgotten  returns  or  becomes  important  again:
resurgence, revival"
48,wrongheaded,/?r??   ??h?d?d/,坚持错误的，执迷不悟的  stubborn in adherence to wrong opinion or principles
49,revive,/r??va?v/,"恢复;  复兴   When  something  such  as  the  economy,  a  business,  a  trend,  or  a  feeling  is  revived  or  when  it
revives, it becomes active, popular, or successful again.     ：resuscitate, revitalize, resurge"
50,upright,/??p?ra?t/,"1.(站或坐得)笔直的[地]，挺直的[地] standing or sitting straight up
2.  正直的，诚实的  always behaving in an honest way"
51,ruination,/?ru?   ??ne???n/,"毁灭,  毁灭之原因，祸根(常为幽默用法) a process in which someone or something is ruined, or the cause of
this  –  often used humorously：ruin, destruction"
52,waggish,/'w?ɡi?/,"爱搞笑的，诙谐的  a waggish person makes clever and amusing jokes, remarks etc"
53,lampoon,/l?m?pu?   n/,"讽刺，挖苦,  嘲弄  to criticize someone or something in a humorous way that makes them seem stupid"
54,valorous,/'v?l?r?s/,"英勇的，勇猛的  possessing or acting with bravery or boldness: brave, courageous, valiant, intrepid"
55,pivotal,/?p?v?t?l/,"关键性的；核心的  more important than anything else in a situation, system etc"
56,unswerving,/?n?sw??   v??/,"( 态度、感受、行为) 强烈的;   坚定的   If  you  describe  someone's  attitude,  feeling,  or  way  of  behaving  as unswerving, you mean that it is strong and firm and does not weaken or change.     ：steady, unwavering,
unfaltering"
57,fecund,/'fik?nd/,"1.  土地肥沃的，生殖力旺盛的  capable of producing offspring or vegetation
2.  创作能力强的，富有创造力的  intellectually productive"
58,leery,/?l??r?/,"警觉的;  猜疑的  If you are leery of something, you are cautious and suspicious about it and try to avoid it."
59,hoax,/h??ks/,欺骗，戏弄  to trick into believing or accepting as genuine something false and often preposterous
60,malevolent,/m??l?v?l?nt/,"含有恶意的，恶毒的  having or showing a desire to cause harm to another person：evil, vicious, malicious,
virulent"
61,libelous,['laib?l?s],"诽谤的；损害名誉的  containing an untrue written statement  that causes people to have a bad opinion of someone
：calumniatory, calumnious, defamatory, denigrative, slanderous"
62,supplication,/?s?pl??ke???n/,"祈求,  恳求  A supplication is a prayer to God or a respectful request to someone in authority for help."
63,genocide,/?d??n???sa?d/,"大屠杀，种族灭绝  the deliberate and systematic destruction of a racial, political, or cultural group"
64,crucial,/?kru?   ??l/,"至关重要的，关键性的  something that is crucial is extremely important because it has a major effect on the
result of something"
65,concur,/k?n?k??   /,(与某人)意见一致，同意  to agree with someone or have the same opinion as them
66,mendacious,/m?n?de???s/,不真实的，虚假的  not truthful or honest
67,flattery,/?fl?t?r?/,"奉承,  恭维  praise that is not sincere but is intended to get something that you want"
68,bowdlerize,/?ba?dl??ra?z/,"删改，删除(书、剧本等中认为有冒犯性的部分)to remove all the parts of a book, play etc that you think might
offend someone"
69,renegade,/?r?n??ɡe?d/,"叛徒;  叛逆者;  改变信仰者   A  renegade  is  a  person  who  abandons  the  religious,  political,  or  philosophical
beliefs that he or she used to have, and accepts opposing or different beliefs."
70,mannered,/?m?n?d/,"娇柔做作的;  不自然的;  守规矩的   If  you describe  someone's  behaviour  or  a  work of  art  as mannered,  you
dislike it because it is elaborate or formal, and therefore seems false or artificial."
71,tarnish,/?tɑ?   n??/,"玷污;   损坏   (名声或形象)  If  you  say  that  something  tarnishes  someone's  reputation  or  image,  you  mean
that it causes people to have a worse opinion of them than they would otherwise have had."
72,abstain,/?b?ste?n/,"1.  弃权，不投票  to choose not to vote for or against something
2.(通常出于宗教或健康原因)戒除  to not do or have something you enjoy, especially alcohol or sex, usually for reasons of religion or health
[+ from]"
73,trespass,/'tr?sp?s/,"过失，罪过;  非法侵犯  a violation of moral or social ethics：infringement, misfeasance, encroachment"
74,obliteration,"/?,blit?'rei??n/","1.  消灭；毁灭  destruction by annihilating something: annihilation
2.  擦掉，灭迹  the complete destruction of every trace of something: eradication"
75,detached,/d??t?t?t/,公正的，客观的  exhibiting an aloof objectivity usually free from prejudice or self-interest
76,enrage,/?n?re?d?/,使(某人)非常愤怒；激怒  to make someone very angry：to fill someone with rage
77,empathetic,/??mp??θ?t?k/,"体恤别人感受的;  感同身受的  Someone who is empathetic has the ability to share another person's feelings
or emotions as if they were their own."
78,extemporaneous,"/ik,stemp?'reini?s/","即兴的  spoken, performed, etc, without planning or preparation; impromptu; extempore"
79,treacherous,/?tr?t??r?s/,"1.  背信弃义的，不忠的；阴险的  someone who is treacherous cannot be trusted because they are not loyal and secretly intend to harm you
2.  (地面、道路、天气情况等)暗藏危险的   ground,  roads,  weather  conditions  etc  that  are  treacherous  are
particularly dangerous because you cannot see the dangers very easily"
80,peculiar,/p??kju?   l??/,"1.  不寻常的;  古怪的  If you describe someone or something as peculiar, you think that they are strange or unusual, sometimes in an unpleasant way.
2.     特有的;  独特的  If something is peculiar to a particular thing, person, or situation, it belongs or relates
only to that thing, person, or situation."
81,gracious,/?ɡre???s/,"1.     有礼貌的；仁慈的；和蔼的，亲切的(尤指对较低阶层的人们) behaving in a polite, kind, and generous way, especially to people of a lower rank
2.  豪华舒适的，华丽的   having  the kind  of expensive style,  comfort, and beauty  that only  rich people can
afford"
82,reverential,/?r?v??r?n??l/,充满敬意的，恭敬的  showing or having a lot of respect and admiration
83,laggard,/?l?ɡ?d/,"落后者;   技不如人者   If  you  describe  a  country,  company,  or  product  as  laggard,  you  mean  that  it  is  not
performing as well as its competitors."
84,procrastinate,/pr???kr?st??ne?t/,"耽搁，拖延  to delay doing sth until a later time because you do not want to do it, because you are lazy, etc."
85,ornate,/??   ?ne?t/,"1.  装饰华丽的   An ornate building, piece of furniture,  or object  is decorated with complicated patterns or shapes.
2.  华美的，绚丽的  using many fancy words"
86,law-breaking,,违法活动  Law-breaking is any kind of illegal activity.
87,incipience,/?n's?p??ns/,起初；发端（等于 incipiency）the state or fact of being incipient: beginning
88,apposite,/??p?z?t/,"适当的;   贴切的   Something  that  is  apposite  is  suitable  for  or  appropriate  to  what  is  happening  or  being
discussed."
89,humdrum,/?h?m?dr?m/,"平凡的;  单调乏味的;  令人厌烦的  If you describe someone or something as humdrum, you mean that they
are ordinary, dull, or boring."
90,despondent,/d??sp?nd?nt/,"沮丧的，绝望的  feeling or showing extreme discouragement, dejection, or depression"
91,dulcet,/?d?ls?t/,悦耳的  pleasing to the ear
92,berate,/b??re?t/,训斥；严厉指责  to scold or condemn vehemently and at length
93,pithy,/?p?θ?/,"简明扼要的  A pithy comment or piece of writing is short, direct, and full of meaning."
94,sardonic,/sɑ?   ?d?n?k/,"轻蔑的，嘲讽的，讥讽的  If you describe someone as sardonic, you mean their attitude to people or things
is humorous but rather critical."
95,steadfast,/?st?df?st/,"1.  忠实的，忠诚的  very faithful and loyal to a person, belief, or cause
2.   坚定的， 毫不动摇的   being  certain  that  you  are  right  about  something  and  refusing  to  change  your
opinion in any way"
96,engrossing,/?n?ɡr??s??/,"引 人 入 胜 的 ;   非 常 有 趣 的    Something  that  is  engrossing  is  very  interesting  and  holds  your  attention
completely."
97,critical,/?kr?t?k?l/,"1.  批评的，批判的  if you are critical, you criticize someone or something
2.   紧要的， 关键性的   something  that  is  critical  is  very  important  because  what  happens  in  the  future depends on it
3.   严重的， 危急的   a  critical  time  or  situation  is  serious  and  worrying  because  things  might  suddenly
become much worse"
98,quietude,/?kwa???tju?   d/,"寂静  calmness, peace, and quiet"
99,relentless,/r??l?ntl?s/,"1.  毫不留情的  Something bad that is relentless never stops or never becomes less intense.
2.  坚持不懈的   Someone  who  is  relentless  is  determined  to  do  something  and  refuses  to  give  up,  even if
what they are doing is unpleasant or cruel."
100,indomitable,/?n?d?m?t?b?l/,"不屈不挠的;  不服输的   If  you  say  that  someone  has  an  indomitable  spirit,  you admire  them  because  they
never give up or admit that they have been defeated.    SYN unconquerable, invincible"
101,mammoth,/?m?m?θ/,巨大的;  艰巨的  You can use mammoth to emphasize that a task or change is very large and needs a lot of effort to achieve.
102,occult,/?'k?lt/,"1.  秘密的，不公开的，秘传的  not revealed: secret
2.  难理解的  not easily apprehended or understood: abstruse, mysterious
3.  神秘的，超自然的  of or relating to supernatural powers or practices"
103,harangue,/h??r??/,"对…慷慨激昂地演说；高声训斥   to  speak  in  a  loud  angry  way,  often  for  a  long  time,  in  order  to  criticize
someone or to persuade them that you are right"
104,applaud,/??pl??   d/,"1（.   为…）鼓掌     to hit your open hands together, to show that you have enjoyed a play, concert, speaker etc
2.  称赞，赞许  to express strong approval of an idea, plan etc"
105,adroitness,/?'dr?itnis/,"熟练；机敏  having or showing skill, cleverness, or resourcefulness in handling situations"
106,exponent,/?k?sp??n?nt/,"1.  倡导者  An exponent of an idea, theory, or plan is a person who supports and explains it, and who tries to persuade other people that it is a good idea.
2.  擅长者;  典范  An exponent of a particular skill or activity is a person who is good at it."
107,depreciate,/d??pri?   ???e?t/,"1.  贬值，跌价  to decrease in value or price
2.  贬低(重要性)，轻视  to make something seem unimportant"
108,scornful,/  ?sk??   nf?l/,"轻蔑的;  嘲笑的  If you are scornful of someone or something, you show contempt for them."
109,concealed,/k?n'si:ld/,"隐蔽的，隐匿的  not accessible to view: hidden, out of sight"
110,prodigal,/?pr?d?ɡ?l/,"浪费的，挥霍的；奢侈的  spending money, wasting time etc in a careless way：extravagant"
111,enthralling,/?n?θr??   l??/,引人入胜的;  迷人的  holding the attention completely; fascinating; spellbinding
112,equanimous,/i'kw?nim?s/,安静的；镇定的  a calm mental state when you deal with difficult situations
113,arriviste,/??ri?   ?vi?   st/,"1.  新贵,  暴发户   a  person  who  has  suddenly  risen  to  a  higher  economic  status  but  has  not  gained  social
acceptance of others in that class : upstart, parvenu
2.  野心家  a person who is trying very hard to belong to an influential or important social group which you
feel they have no right to belong to."
114,improvident,/?m?pr?v?d?nt/,"浪费的;  轻率的,  无远见的  not provident; thriftless, imprudent, or prodigal"
115,parvenu,/?pɑ?   v??nju?   /,"暴发户，新贵( 含侮辱意味)  an  insulting  word  for  someone  from  a  low  social  position  who  has  suddenly
become rich and powerful"
116,concise,/k?n?sa?s/,"简洁的，简练的，简明的  short, with no unnecessary words：  brief"
117,squalor,/?skw?l?/,(环境)邋遢，肮脏  the condition of being dirty and unpleasant because of a lack of care or money
118,behemoth,/b??hi?   m?θ/,"庞然大物;  难以驾驭的事物   If  you  refer  to  something  as  a  behemoth,  you mean  that  it  is  extremely  large,
and often that it is unpleasant, inefficient, or difficult to manage."
119,prattle,/?pr?t?l/,喋喋不休，闲扯，唠叨  to talk continuously about silly and unimportant things
120,composure,/k?m?p????/,镇定;  定力  Composure is the appearance or feeling of calm and the ability to control your feelings.
121,apostate,/??p?ste?t/,叛教者；脱党者；变节者  someone who has stopped believing in a religion or supporting a political party
122,faithful,/?fe?θf?l/,"(对某人、信念、政党等)忠诚的，忠实的  remaining loyal to a particular person, belief, political party etc and
continuing to support them"
123,spellbinding,/?sp?lba?nd??/,极有趣的，使人入迷的  extremely interesting and holding your attention completely：engrossing
124,skimp,/sk?mp/,"节省  If you skimp on something, you use less time, money, or material for it than you really need, so that
the result is not good enough."
125,project sth (to sth),/'pr?d?ekt/,"be projected to do sth  预计，推断  to calculate what something will be in the future, using the information
you have now：predict, estimate, forecast"
126,raucous,/?r??   k?s/,"刺耳的  A raucous sound is loud, harsh, and rather unpleasant."
127,coy,/k??/,"1.  害羞的；忸怩作态的  shy or pretending to be shy in order to attract people's interest
2.  含糊其词的，不肯表态的  unwilling to give information about something"
128,bellicose,/?b?l??k??s/,好战的;  好斗的  having or showing a tendency to argue or fight
129,ad-lib,/?d'lib/,"即兴穿插  If you ad-lib  something in a play  or a speech, you say  something that has not  been planned or
written beforehand."
130,avarice,/??v?r?s/,贪得无厌，贪婪  a desire to have a lot of money that is considered to be too strong
131,perfidy,/?p??   f?d?/,背信弃义;  不仁不义  Perfidy is the action of betraying someone or behaving very badly toward someone.
132,quibbling,/?kw?b?l/,"(为琐事)  争辩,  吹毛求疵：  to argue or complain about small, unimportant things"
133,animosity,/??n??m?s?t?/,憎恶，仇恨，敌意  strong dislike or hatred：hostility
134,aggravate,/??ɡr??ve?t/,"使恶化  If someone or something aggravates a situation, they make it worse."
135,dissolve,/d??z?lv/,"1.  （使）(固体)溶解  if a solid dissolves, or if you dissolve it, it mixes with a liquid and becomes part of it
2.  解散(议会);  解除(商业协定、婚姻关系等)to formally end a parliament, business arrangement, marriage etc"
136,certify,/?s??   t??fa?/,"(尤指经过某种检验)证明，证实，核证  to state that something is correct or true, especially after some kind of test"
137,largess,/lɑ:'d?es/,慷慨捐助;  善举（等于 largesse）Largess is a generous gift of money or a generous act of kindness.
138,unanimous,/ju?   ?n?n?m?s/,"一致同意的   When  a  group  of  people  are  unanimous,  they  all  agree  about  something  or  all  vote  for  the
same thing."
139,elliptical,/??l?pt?k?l/,"1.  椭圆的；椭圆形的  having the shape of an ellipse
2. (言辞或文章)晦涩的，隐晦的  elliptical speech or writing is difficult to understand because more is meant
than is actually said"
140,squabble,/?skw?b?l/,(为琐事)  争吵  to argue loudly about things that are not important
141,extrapolate,/?k?str?p??le?t/,(从已知事实)推断  to form an opinion or to make an estimate about something from known facts
142,pusillanimity,"/,pju:si'l?nimiti/","懦弱的,  胆小的;  优柔寡断的  lacking courage and resolution: marked by contemptible timidity"
143,nonchalant,/?n?n??l?nt/,"若无其事的;  漠不关心的  If you describe someone as nonchalant, you mean that they appear not  to worry
or care about things and that they seem very calm."
144,mollification,"/,m?lifi'kei??n/","1.  安抚，平息  to soothe in temper or disposition : appease
2.  缓和  to reduce in intensity : assuage, temper"
145,apologue,/??p??l?ɡ/,(尤指含有道德讽喻意义的动物)寓言  an allegory or moral fable
146,adumbrate,/??d?m?bre?t/,"1.  约略显示；概述    to suggest or describe something in an incomplete way
2.  预示,  预兆  foreshadow or prefigure a future event"
147,ornate,/??   ?ne?t/,"1.  装饰华丽的   An ornate building, piece of furniture,  or object  is decorated with complicated patterns or shapes.
2.  华美的，绚丽的  using many fancy words"
148,scanty,/?sk?nt?/,不足的，缺乏的  very small in size or amount
149,amicable,/??m?k?b?l/,"友好的，和睦的  an amicable agreement, relationship etc is one in which people feel friendly towards each
other and do not want to quarrel"
150,insurrection,/??ns??r?k??n/,"叛乱   An  insurrection  is  violent  action  that  is  taken  by  a  large  group  of  people  against  the  rulers  of  their
country, usually in order to remove them from office."
151,niggardly,/?n?ɡ?dl?/,"1.很少的，勉强给的  a niggardly gift, amount, salary etc is much too small and is given unwillingly
2.  小气的，吝啬的  unwilling to spend money or be generous"
152,asceticism,/??s?t?s?z?m/,"禁欲主义  Asceticism is a simple, strict way of life with no luxuries or physical pleasures."
153,diaphanous,/da???f?n?s/,薄得几乎透明的  Diaphanous cloth is very thin and almost transparent.
154,forecast,/?f??   ?kɑ?   st/,"预测，预报   to  make  a  statement  saying  what  is  likely  to  happen  in  the  future,  based  on  the  information
that you have now：predict"
155,vitality,/va??t?l?t?/,"活 力    If  you  say  that  someone  or  something  has  vitality,  you  mean  that  they  have  great  energy  and
liveliness."
156,doleful,/?d??lf?l/,"悲痛的，哀伤的  A doleful expression, manner, or voice is depressing and miserable."
157,inclination,/??nkl??ne???n/,"(思想或行为的)倾向,  意向  a tendency to behave in a particular way or have a particular interest"
158,extinction,/?k?st??k??n/,"(物种的)  灭绝   the  state  or  situation  that  results  when  something  (such  as  a  plant  or  animal  species)  has
died out completely"
159,tirade,/ta??re?d/,抨击性的长篇讲话  a long angry speech criticizing someone or something
160,unobtrusive,/??n?b?tru?   s?v/,"不引人注目的,  不显眼的  If you describe something or someone as unobtrusive, you mean that they are not
easily noticed or do not draw attention to themselves."
161,disdainful,/d?s?de?nf?l/,"蔑视的,   鄙视的   To  be  disdainful  means  to  dislike  something  or  someone  because  you  think  they  are
unimportant or not worth your attention."
162,entrance,/??ntr?ns/,"使着迷  If something or someone entrances you, they cause you to feel delight and wonder, often so that
all your attention is taken up and you cannot think about anything else."
163,microscopic,/?ma?kr??sk?p?k/,极小的，小得难以看清的  extremely small and therefore very difficult to see
164,ordeal,/??   ?di?   l/,"煎熬,  困境，严酷的考验  If you describe an experience or situation as an ordeal, you think it is difficult and
stressful."
165,falter,/?f??   lt?/,"1.  变弱，衰退  to become weaker and unable to continue in an effective way
2.  犹豫，踌躇  to become less certain and determined that you want to do something"
166,upstart,/??p?stɑ?   t/,"1.   自命不凡的新手   someone  who  behaves  as  if  they  were  more  important  than  they  really  are  and  who shows a lack of respect towards people who are more experienced or older
2.  暴发户  someone that has risen suddenly (as from a low position to wealth or power)：parvenu, arriviste"
167,fledgling,/?fl?d?l??/,"1.  刚生羽毛(或刚会飞)的小鸟  a young bird that has just become able to fly
2.  新手，缺乏经验的年轻人  someone or something that is getting started in a new activity"
168,posterity,/p??st?r?t?/,子孙后代  the offspring of one progenitor to the furthest generation
169,industrious,/?n?d?str??s/,"勤奋的  If you describe someone as industrious, you mean they work very hard."
170,sinister,/?s?n?st?/,"险恶的；凶兆的  looking like to cause something bad, evil, harmful, or dangerous to happen"
171,debase,/d??be?s/,降低(价值)；贬低(声望) to make someone or something lose its value or people's respect
172,vacillate,/?v?s??le?t/,"犹豫，踌躇，拿不定主意  to continue to change your opinions, decisions, ideas etc：waver"
173,repentance,/r??p?nt?ns/,"悔悟;  悔恨;  忏悔  If you show repentance for something wrong that you have done, you make it clear that
you are sorry for doing it."
174,carnage,/?kɑ?   n?d?/,"大屠杀  Carnage is the violent killing of large numbers of people, especially in a war."
175,abandon,/??b?nd?n/,放弃，中止  to stop doing something because there are too many problems and it is impossible to continue
176,knave,/ne?v/,狡诈的人  (old-fashioned) a dishonest boy or man
177,adamant,/??d?m?nt/,坚定不移的，顽强不屈的  very determined
178,toady,/?t??d?/,"谄 媚 ， 奉 承 ， 拍 马 屁    If  you  say  that  someone  is  toadying  to  an  important  or  powerful  person,  you disapprove  of  them  because  they  are  flattering  or  being  pleasant  toward  that  person  in  the  hope  of
getting some advantage from them."
179,harmonic,/hɑ?   ?m?n?k/,"悦耳的  pleasing to the ear：harmonious,dulcet"
180,advance,/?d?vɑ?   ns/,"1.   使提前   To  advance  an  event,  or  the  time  or  date  of  an  event,  means  to  bring  it  forward  to  an  earlier time or date.
2.  造成;  促成  If you advance a cause, interest, or claim, you support it and help to make it successful."
181,bromide,/?br??ma?d/,"陈词滥调  A bromide is a comment that is intended to calm someone down when they are angry, but tha
has been expressed so often that it has become boring and meaningless."
182,lavish,/?l?v??/,"1.  浪费的  expending or bestowing profusely : prodigal
2.  大量的，丰富的  marked by profusion or excess"
183,congenial,/k?n?d?i?   nj?l/,"1.  宜人的，令人舒适愉快的  pleasant in a way that makes you feel comfortable and relaxed
2.  适宜的，适合的  suitable for something"
184,open-handed,/'?up?n'h?ndid/,慷慨的;  大度的  generous; liberal
185,crestfallen,/?kr?st?f??   l?n/,沮丧的，垂头丧气的  looking disappointed and upset：downcast
186,ardent,/?ɑ?   d?nt/,热心的；热切的  showing strong positive feelings about an activity and determination to succeed at it
187,rancor,/?r??k?/,"深仇，积怨  a feeling of hatred and anger towards someone you cannot forgive because they harmed you
in the past"
188,magnanimous,/m?ɡ?n?n?m?s/,"宽宏大量的  If you are magnanimous, you behave kindly and generously toward someone, especially after
defeating them or being treated badly by them."
189,commotion,/k??m????n/,"骚动,  暴乱,  喧闹  A commotion is a lot of noise, confusion, and excitement."
190,rogue,/r??ɡ/,"1.  无赖，流氓  (old-fashioned) a man who is dishonest and has a bad character
2.  捣蛋鬼，淘气鬼(指男人或男孩，常为幽默用法)a man or boy who behaves badly, but who you like in spite
of this  –  often used humorously"
191,consecrated,/?k?ns??kre?t/,"神圣的，被奉为神圣的  dedicated to a sacred purpose：sacred, sacrosanct"
192,hulking,/?h?lk??/,"庞 大 而 笨 重 的     You   use   hulking   to  describe   a   person   or   object   that   is   extremely   large,   heavy,   or
slow-moving, especially when they seem threatening in some way."
193,surrogate,/  ?s?r?ɡ?t/,替代的，代理的  a surrogate person or thing is one that takes the place of sb or sth else
194,abridge,/??br?d?/,删节；缩短；节略  to reduce the length of (a written work) by condensing or rewriting
195,entreaty,/?n?tri?   t?/,恳求；乞求  a serious request in which you ask someone to do something for you
196,meditation,/?m?d??te???n/,"冥想；沉思   Meditation is the act  of remaining in a silent  and calm state for a period of time, as part  of a
religious training, or so that you are more able to deal with the problems of everyday life."
197,genial,/'d?in??l/,亲切的，和蔼的，友好的  friendly and happy
198,reprimand,/?r?pr??mɑ?   nd/,训斥，谴责  to reprove sharply or censure formally usually from a position of authority
199,eminent,/??m?n?nt/,"卓越的;  有名望的  successful, well-known and respected"
200,suggestive,/s??d??st?v/,使人想起…的  making you think of or remember of a particular thing
201,divine,/d??va?n/,"1. (凭直觉)  猜测；发现  discover something by guesswork or intuition
2.  占卜；预测  have supernatural or magical insight into future events"
202,chisel,/?t??z?l/,"1.  欺骗，诈骗  engage in deceitful behavior; practice trickery or fraud
2.  诈骗(某人)；骗取  to get something from someone by tricking them"
